country,value_start,value_end,cagr
Russia,2536.248,1632.929,-0.014569833903295915
Hungary,73.427,47.107,-0.014686752087518906
Sweden,57.52,36.703,-0.014864227552406906
North Macedonia,11.098,6.962,-0.015423097551496734
Germany,1054.796,648.357,-0.016091171045150898
Czechia,164.25,91.674,-0.0192506549705177
North Korea,118.379,65.548,-0.01951077376625543
Zimbabwe,15.537,8.495,-0.019923730213295077
Belarus,108.345,59.056,-0.020024604693473225
United Kingdom,601.945,326.263,-0.020208425626256243
Denmark,53.464,28.294,-0.020988567452651763
Slovakia,61.526,31.154,-0.022428561302479277
Bulgaria,76.741,36.644,-0.024338471272962403
Kyrgyzstan,19.198,8.348,-0.027377717068724383
Romania,176.545,73.71,-0.02869483166552156
Nauru,0.125,0.051,-0.029440856360955836
Lithuania,35.772,13.563,-0.031810389479225654
Curacao,4.824,1.814,-0.032076577276042184
Latvia,19.662,6.998,-0.033849295527136114
Ukraine,706.227,206.824,-0.04010907187988655
Estonia,36.917,9.198,-0.04526634181142386
Moldova,36.479,5.238,-0.0626450316661441
Antarctica,0.011,0.0,-1.0
